商品标题,一级（是否为实体）,二级-三级-四级,时间,地域
【两店通用】99元抢门市价349元颐品居2-3人套餐，羊骨锅+新鲜牛吊龙、嫩羊肉＋一片云羊肉以及各种丰富的菜品，满屏肉香，冲鸭~,0,a-4,,
【新街口/明泰谷】128元抢价值308元双人套餐！纯血统泰国菜，用异域的味道唤醒沉睡的味蕾！,0,a-17,,
"【兰芝防晒隔离霜】仅88元抢原价139元韩国兰芝防晒隔离霜30ml，紫色/绿色二选一,好肌肤“隔”出来~快给肌肤穿上防护衣吧",0,d-1,,
【老门东】仅22.9元抢原价56元张氏生煎特惠双人套餐：招牌小鱼锅贴1份+招牌铁板豆腐1份+橙意满满1杯+百香果满满1杯！丰盛的特色风味，你还等什么？,0,a-10,,
【预售南京金鹰奇幻森林萌宠乐园】29元抢门市价59元“疯狂动物城”单人票，早鸟票，零距离撸遍蓝孔雀、鸟园、香猪、羊驼...超满足哦！,0,d/e,,
【建邺区水西门大街】仅49.9元抢原价166元羊老爷烤鱼套餐/碳烤牛蛙套餐！清江鱼3斤/牛蛙1份+蔬菜四份＋椒盐花生＋蒜泥黄瓜＋大红虾4只！碳烤美味冲鸭~,0,a-3,,
【全南京6店通用】仅38.8元抢原价488元付氏女子养发育发馆超值套餐！七个护理项目，男女不限哦！喊上周围有「秃头」危机的朋友好好去护理一下吧~,0,k,,
【3号线新庄站】仅19.9元抢原价680元SAOK Club套餐！酒水一份+一份果盘+小吃一份+一扎橙汁！超嗨现场等你来~,0,n,,
【三店通用】37.5元抢门市价43元发财铺网红脆皮五花肉一份，外酥里嫩、酥脆蓬松的脆皮五花肉，  小伙伴们可不要错过了哦！,0,a-10,,
【迪奥烈艳蓝金口红】149元抢门市价330元迪奥烈艳蓝金口红六种热门色号可选！官方授权，保证正品支持专柜验货！买！不买不是仙女！,0,d-2,,
【建邺乐基广场】仅78元抢原价1192元芝芯堂套餐！伏魔灸+中医乳腺疏通+扶阳肩颈理疗+五行能量排毒，超多项目一次满足！放松身体，悄悄变美~,0,h,,
【秦淮区】仅19.9元抢门市价39元高压锅蒸汽生蚝10只，仅99元抢门市价240元双人餐，饕餮海鲜盛宴，手掌大的生蚝！,0,a-13,,
【新街口国际贸易中心】仅19.9元抢原价230元米兰音乐吧特惠A套餐：雪花纯生啤酒6瓶+2份小食，88元抢原价570元特惠B套餐：啤酒12瓶（3选一）+3份小食,0,n,,
【杨柳湖景区】仅25.9元抢原价49.9元瑞硕亲子农庄龙虾垂钓套餐，49.9元抢原价129元自然采摘教育套餐！超多亲子活动等你来玩哦~,0,q,,
【限江浙沪皖包邮/京东专线配送】仅68元抢原价98元【阳山水蜜桃】4-5两8只装精品礼盒，80元抢原价118元5-6两8只装精品礼盒！珍稀早桃，邀请你一起感受最早的甜蜜,1,a-2,,
【限南京包邮/五香居】仅49.9元抢购门市价68元你好鸭组合套餐：鸭脖1盒＋鸭锁骨1盒＋豆干1盒，微辣口味老少皆宜，赶快抢购吧！！,1,a-9,,
【新街口莱迪广场】仅8.8元抢原价17元8街壹号奶茶A套餐：凤梨养乐多一杯；17.8元抢原价34元B套餐：抹茶星冰乐一杯+四季春鲜牛乳一杯！一分价格！五星品质！十分治愈！快带上小伙伴一起来吧~,0,a-7,,
【三店通用/经络堂——点评网推荐五星好店】仅69元抢门市价680元A套餐：包含7种养生项目 仅79元抢门市价798元B套餐：A套餐+v品水润酵素洁面泡沫一瓶，去经络堂遇见更美的自己吧！,0,h,,
【南京全城包邮】76.9元抢原价128元君乐宝简.醇酸奶1箱/涨芝士啦酸奶1箱，老少皆宜！ ,1,a-8,,
【慢面包/8店通用】仅35.9元抢原价65元九宫格甜品一盒！9块蛋糕、5种口味！精致的生活怎么能少了小蛋糕呢~,0,a-14,,
【大行宫】仅68元抢门市价198元绿食居双人餐，仅99元抢门市价380元3-4人餐，吃淮扬菜！专属老南京人的餐厅~,0,a-3,,
【全国包邮】仅69.9元抢原价110元日本娜丽丝防晒喷雾2瓶装（90g/瓶）超多明星都在用，古力娜扎同款，快get起来吧~,1,d-1,,
【中山东路】仅39元抢原价580元延龄牙科门诊套餐！深度口腔体检+进口超声波洁+进口喷砂+全口护釉抛光！让你的牙齿闪亮起来~,0,u,,
【3号线浮桥站】仅68元抢门市价2940元美范美肤塑形套餐种项目任选，让您在变美的路上一去不复返！,0,k,,
【中山路/艾尚天地】39.9元抢门市价112元三生糖水超值养生下午茶，约上好友，一起享受一下美味的下午茶，完美！,0,a-18,,
【全国通用】仅9.9元抢原价199元有车云加油打折年卡一张！每年约可抵扣加油金额2000元！自由出行，加油其实很简单~,0,t,,
【9店通用】26.9元抢原价58元-18°冰激凌套餐梦龙经典款+巧乐兹四个圈+索菲亚威化+可爱多经典款 +韩国进口宾格瑞+光明冰砖,0,a-14,,
【应天大街/烧烤夜宵】仅19.8元抢原价94元羊小弟烧烤A套餐：3荤3素！118元抢原价237元B套餐：小龙虾3斤+5荤4素+扎啤1泡！美味烧烤、小龙虾都在这里等你~,0,a-2,,
【夫子庙】仅24.9元抢原价76元乌衣巷小吃城南京特色小吃套餐！南京鸭血粉丝汤2份+金陵灌汤小笼包1份！,0,a-10,,
【新街口】25元抢原价50元苏香食里美食广场全场通用卡一张（馋游记、鱼之乐纸包鱼、刘酥肉除外）种类丰富又美味总能“命中”你的心和胃~！,0,a-x/l,,
【超值福利/潮流断货王】98元抢原价170元MAC魅可热门色号口红，不可错过的几只口红，显白又平价 ！火爆全宇宙的MAC口红，谁涂谁好看！ ,0,d-2,,
【江宁同曦鸣城】仅29.9元抢原价128元淓淓牛肉馆超值双人餐！锅底+特色卤味牛全套(5荤)+2素以及其他美味菜品！特色卤味等你来品尝哦~,0,a-15/a-3,,
【汉中门大街】39.9元抢门市价398元LOUIS轻奢美容美体套餐，面部清洁补水，水氧活肤；芳香精油背部SPA；丝滑脱毛， 三选 二 精致女孩快快走起！~,0,k,,
【两店通用】39.9元抢门市价1720元圣梦亲体美肤套餐，专业解决皮肤困惑，还你饱满水光肌~,0,k,,
【全国顺丰包邮】仅75元抢原价138元瑞小鲜原肉整切，调理牛排6片装(黑椒口味) 每片150g，送6份料包！让你在家就能享受高级西餐厅里的美味牛排~,1,a-2/a-5,,
【仙鹤街】仅148元抢门市价498元清蒸大闸蟹10只（约3两每只）+蟹醋一瓶，仅99元抢门市价398元香辣蟹10只（约1.5两每只）+（素菜随机六选 四），可堂食可打包~快来抢购~！,0,a-13,,
【太阳宫广场】仅9.9元抢门市价288元太阳宫潮艺夜市现场礼包，来畅聊潮流文化，吃喝美食， 玩转潮流，嗨翻现场！！,0,d,,
【42店通用/南京 镇江 马鞍山】9.9元抢原价60元特惠洗车套餐：标准洗车+安全检测+玻璃水；错过等一年！全国连锁！,0,t,,
【仙鹤街】仅59.9元抢门市价188元食神龙虾5斤龙虾，仅99元抢门市价378元食神龙虾10斤龙虾，十三香、清水、香辣三选 一，可堂食可打包~快来抢购~！,0,a-13,,
【汤山私汤温泉住宿】299元抢原价888元维也纳国际大酒店私汤房型！2人1晚私汤房型+双人早餐+2瓶饮料+果盘，周末不加价！超值优惠，让你尽情享受泡温泉的休闲惬意！,0,b,,
【下马坊地铁口】仅88元抢门市价178元老厨人深海炖锅2人特惠套餐，7种炖锅可选， 川味海带丝+水煮花生米+米饭2份，特色炖锅，品种多样，健康营养。,0,a-3,,
【全南京区域】仅69元抢门市价189元两台挂式空调清洗，南京小时候空调清洗免费上门，多步清洁，让您安心过个清爽舒服的夏天~！,0,v,,
【两店通用】98元抢门市价284元1432德国花园餐厅特惠套餐，让您不飞德国吃正宗德餐，带着你的小伙伴快来打卡吧~,0,a-9,,
【江浙沪包邮】无锡阳山水蜜桃88元抢门市价118元水蜜桃一箱，149元抢门市价230元水蜜桃两箱，规格6～7两，每箱8只装，新鲜，从每天一个阳山水蜜桃开始~,1,a-2,,
【大行宫地区】仅19.9元抢原价80元的知足堂养生会所超值采耳套餐！仅59元抢原价156元的知足堂养生会所超值足疗套餐！犒赏忙碌的你！不要太划算哦！,0,h,,
【全国通用】仅38元抢价值1000元寄居蟹旅行民宿体验卡！1间1晚或2晚入住网红民宿！全国70家精品民宿任你选，快来一次说走就走的旅行~,0,b,,
【武定门/炽道串店】仅29.9元抢门市价88元特惠烧烤套餐，仅79元抢门市价198.5元超值2-3人烧烤套餐 ；心动不如行动， 快带着你的小伙伴来发掘美食吧~！,0,a-2,,
【江宁义乌商贸城】仅29.9元抢原价38元青桔和木鱼网红糕点A套餐，2款人气糕点！仅49.9元抢原价81元B套餐，4款网红热销糕点！爱吃甜品的千万别错过~,0,a-14,,
【全国包邮】仅29.9元抢原价49.9元小养夹心海苔6罐装！三种口味：炒米/南瓜子/巴旦木，每种口味2罐！开袋即食 想怎么吃就怎么吃 ~,1,a-7,,
【玄武区钟鼎名悦】仅88元抢原价308元徒手餐厅超值3人餐！海鲜+鸡爪+配菜的干锅爱马仕+特色气泡鸡+蒜泥黄瓜+特调饮品2杯！快来享受海鲜盛宴吧~,0,a-13,,
【玄武区/碑亭巷】仅29.9元抢原价72元源记潮汕砂锅粥A套餐：酸菜鱼+时蔬+米饭，79元抢原价209元B套餐：对虾&菜心砂锅粥+蒜蓉铁板虾+葱油饼+培根包菜,0,a-3,,
【江宁/大塘金】仅9.9元抢门市价138元大塘金夜夏山城纳凉节早鸟票一张！49.9元抢138元通票一张！漫步天宫云端，享受梦幻灯光~,0,d,,
预售【云海亲水汤城】仅59.9元抢原价138元单人门票+单人自助（午餐或晚餐任选一餐）！100多种美食，烤鸭/牛排/海鲜.......手慢即无宝宝千万别错过，这个夏天，就来云海过~,0,d/a-8,,
【德盈国际广场】新店开业钜惠！仅38元抢原价1340元L.SPA美容美甲套餐：小气泡+纯色美甲+脱毛一次+四肢疏通+肩颈按摩！五大项目，让你从头美到指尖~,0,k/h,,
预售【南京南站/海韵之星限时抢购】109元抢门市价218元海韵之星油轮单人船票+自助餐（一餐）+台湾美食，网红邮轮泳池， 更有免费不限量的咖啡/冰淇淋/小点心~，纯正的韩式汗蒸养生，一站式的休闲娱乐~！,0,e,,
【江宁区金箔路/碉堡烤鱼】仅69元抢原价198元特惠2-3人餐，清江鱼一条约3斤+配菜4个+酸梅汁一扎+米饭2份！辛香麻辣的烤鱼，快约上朋友一起去~,0,a-2/a-13,,
【应天大街，无需预约】78元抢门市价208元羊小弟火锅双人套餐~超值套餐，内容丰富，赶紧准备好你256G的胃约起来~ ,0,a-4,,
【江宁区金箔路/碉堡烤鱼】仅69元抢原价198元特惠2-3人餐，烤鱼一条约3斤+配菜4个+酸梅汁一扎+米饭2份！辛香麻辣的烤鱼，快约上朋友一起去~,0,a-2/a-13,,
【直播间限时秒杀20份】仅24.9元抢原价38元青桔和木鱼网红糕点A套餐，2款人气糕点！仅44.9元抢原价81元B套餐，4款网红热销糕点！爱吃甜品的千万别错过~,0,a-14,限时,
【直播间限时秒杀10份】仅28元抢价值1000元寄居蟹旅行民宿体验卡！1间1晚或2晚入住网红民宿！全国70家精品民宿任你选，快来一次说走就走的旅行~,0,b,限时,
【直播间限时秒杀20份】仅54.9元抢门市价188元食神龙虾5斤龙虾，仅91元抢门市价378元食神龙虾10斤龙虾，十三香、清水、香辣三选 一，可堂食可打包~快来抢购~！,0,a-13,限时,
【直播间限时秒杀30份】仅6.9元抢门市价138元大塘金夜夏山城纳凉节早鸟票一张！39.9元抢138元通票一张！漫步天宫云端，享受梦幻灯光~通票买一送一，下单后加客服微信17372756549领取赠票,0,d,限时,
【直播间限时秒杀30份】仅14.9元 抢门市价22元圣代两个（北美蓝莓/冲绳黑糖 ）仅21.9元抢门市价33元老北京鸡肉卷两份，仅22.9元抢门市价38元大杯原味冰拿铁两杯。,0,a-14/a-6,限时,
【直播间限时秒杀】84元抢门市价284元1432德国花园餐厅特惠套餐，让您不飞德国吃正宗德餐，带着你的小伙伴快来打卡吧~,0,a-9,限时,
【新街口】仅24.9元抢原价75元瑭萃烘焙国风下午茶套餐！ 2个鲜果雪媚娘+2个红豆麻薯蛋黄酥+8颗葡萄酥！享受美味，从甜点开始~,0,a-18,,
【直播间限时秒杀20份】无锡阳山水蜜桃83元抢门市价118元水蜜桃一箱，144元抢门市价230元水蜜桃两箱，规格6～7两，每箱8只装，新鲜，从每天一个阳山水蜜桃开始~,1,a-2,限时,
"【南京四店通用/云海肴】仅166元抢原价220.8元云海肴汽锅鸡1份+个旧烤猪蹄1份+黑三剁1份+小锅米线1份+米饭3份3人套餐！超值美味！盘它！来云海肴享云南美味吧~	",0,a-3,,
【直播间限时秒杀20份】仅29.9元抢原价72元源记潮汕砂锅粥A套餐：酸菜鱼+时蔬+米饭，79元抢原价209元B套餐：对虾&菜心砂锅粥+蒜蓉铁板虾+葱油饼+培根包菜，下单B套餐赠送A套餐，加客服微信17372756549,0,a-3,限时,
【南京不老村】69.9元抢门市价129元不老村道名啤酒花园烧烤星空套餐，吃烧烤看星空看电影，三五好友家人朋友欢乐不老村！,0,a-2,,
【高淳金沙水城】仅19.9元抢原价39元单人浴资+简餐！泡澡+美食一站体验，快让自己来好好放松一下吧~,0,i,,
【预售/银杏湖乐园】仅199元抢原价260元单人全园畅玩票！260元抢原价520元双人全园畅玩票！水世界+过山车+大摆锤+城堡漂流……一票全园全天畅玩~,0,d,,
【途居扬州房车露营地】仅299元抢门市价1599元途居扬州房车+水上乐园/烧烤架二选一特惠套餐，房车可住3人，水世界门票两张，超级划算！这个夏天来扬州体验不一样的旅行吧 ！,0,d/e,,
【KFC肯德基/全国通用】仅17.9元 抢门市价22元圣代两个（北美蓝莓/冲绳黑糖 ）仅24.9元抢门市价33元老北京鸡肉卷两份，仅25.9元抢门市价38元大杯原味冰拿铁两杯。,0,a-1-1,,
【张府园地铁站】仅9.9元抢原价15元柒也家招牌手打虾滑1份，15.9元抢原价27元鸿运当头蟹柳1份+招牌手打虾滑1份，享受空口吃虾滑的快乐~,0,a-10,,
【枫彩漫城】仅39.9元抢原价180元2大1小亲子套餐，畅玩景区！百亩梦幻花海，还有超多娱乐尽在枫彩漫城等你~,0,d/q,,
【茂业天地店/吾悦广场店/九霄梦天地店/江宁保利樾店】39.9元抢原价80元星轶影城电影票2张，2D/3D通用，Super神级影院！,0,c,,
【全国包邮】仅13.9元抢原价36元北海道圆脆饼干一箱6袋装！口味4选1： 豆乳味、蔬菜味、牛乳味、海盐味，奶香十足，香脆可口，快来一袋尝尝~,1,a-1,,
【KFC肯德基/全国通用】仅17.9元 抢门市价22元圣代两个（北美蓝莓 ）仅24.9元抢门市价33元老北京鸡肉卷两份，仅25.9元抢门市价38元大杯原味冰拿铁两杯。,0,a-1-1,,
【中山北路乐业村】仅78元抢原价262元炒螺丝贵妇牛蛙2-3人餐：饮料+锅底+牛蛙+4素+螺丝+鸡翅！88元抢原价306元肚包鸡2-3人餐！超值美味，值得等待~,0,a-3,,
【全国包邮】39.9元抢市场价69元南昌拌粉210克/7袋，秉承传统风味加入足足7种小料口感丰富，美味加倍,0,a-10,,
【两店通用】仅99元抢原价314元青瓦醉巷火锅2-3人餐！奔驰锅底+6荤3素+饮料+水果自助！极具特色的四川火锅，辛香美味等你来尝~,0,a-4,,
【江浙沪包邮】仅25.9元抢门市价60元土耳其发酵果子，雷神欧包，红豆手撕吐司，三选 二，清新低脂又健康，慢享生活，有时候我们是该放慢脚步， 品尝生活的原滋原味。,1,a-7,,
【六合金牛湖野生动物王国】仅275元抢门市价299元超值亲子年卡！ 草原部落、激流峡湾、珍奇世界、 虎啸山林...八大主题任玩！包含小火车~,0,d/q,,
【江宁/大塘金】仅49.9元抢138元大塘金通票一张！漫步天宫云端，享受梦幻灯光~,0,d,,
【江浙沪124家门店通用|南京22家门店】仅88元抢原价175元 DQ冰激凌迷你90g装x5桶 ，99元抢原价178元分享400g装x2桶，四种口味任选,0,a-14,,
【直播间限时秒杀10份/全国包邮】仅9.9元抢原价36元北海道圆脆饼干一箱6袋装！口味4选1： 豆乳味、蔬菜味、牛乳味、海盐味，奶香十足，香脆可口，快来一袋尝尝~,1,a-1,限时,
【直播间限时秒杀10份】【江浙沪包邮】仅19.9元抢门市价60元土耳其发酵果子，雷神欧包，红豆手撕吐司，三选 二，清新低脂又健康，慢享生活，有时候我们是该放慢脚步， 品尝生活的原滋原味。,1,a-1,限时,
【直播间限时秒杀10份】【42店通用/南京 镇江 马鞍山】6.9元抢原价60元特惠洗车套餐：标准洗车+安全检测+玻璃水；错过等一年！全国连锁！,0,t,限时,
【直播限时秒杀10份】【张府园地铁站】9.9元抢原价27元鸿运当头蟹柳1份+招牌手打虾滑1份，再送原价15元柒也家招牌手打虾滑1份，享受空口吃虾滑的快乐~,0,a-10,限时,
【直播间限时秒杀10份】【茂业天地店/吾悦广场店/九霄梦天地店/江宁保利樾店】29.9元抢原价80元星轶影城电影票2张，2D/3D通用，Super神级影院！,0,c,限时,
【新街口|泰式按摩】仅58元抢原价188元泰留莲泰式半身按摩！99元抢原价338元泰式古方按摩，158元抢538元芳香SPA！缓解压力首选泰式按摩~,0,h,,
【天目湖】仅299元抢门市价720元成人票2张+5家酒店任选 1晚+双人早餐，走吧！小伙伴们！一起漂流去！！,0,b,,
【全国100+精品酒店全年免费住】仅668元抢“任享无限次-免费住酒店”随处·畅住卡！全国有100多家精品酒店，不限次数！不限地区！不限房型！全年免费住~,0,b,,
【全国包邮】仅38.9元抢原价132.2元海鸭蛋黄辣酱一箱（80g*3瓶）精选散养海鸭鸭蛋，高山红泥精心腌制，给你最棒的美味~,1,a-10,,
【新街口】仅59.9元抢门市价158元5寸DIY戚风蛋糕，充分发挥自己的想象力  去创作，给你的TA独一无二的生日蛋糕~,0,a-14,,
【全国40店|南京1912店、珠江路金鹰店、江宁金鹰店通用】仅138元抢原价316元鹿港小镇三人餐！鹿港三杯鸡+秘制牛小腿肉+台式香肠+特调奶茶…海派风情，台式浪漫，尽在这里！,0,a-3,,
【弘阳未来世界水世界】仅29.9元享门市价50元一大一小套票，水世界畅玩~清凉解暑，狂欢假期，遛娃圣地！,0,d,,
【江宁区】109元享门市价279元牛尚鲜潮汕鲜牛肉2-3人火锅套餐，高钙牛骨原汤锅底、嫩肉、吊龙、匙柄、牛舌、五花腱，用简单的汤底还原牛肉本质的鲜香  让你重新认识这一份鲜牛肉,0,a-4,,
【全国60多家民宿通用|免押金订房】仅888元抢原价1288元何所忆民宿卡！ 不限次数，不限房型，不限时间，无需押金！全国30城，莫干山/千岛湖/乌镇/苏州/无锡/宜兴/黄山等60家民宿一年免费住！,0,b,,
【枫彩漫城/风情节狂欢！】仅9.9元抢原价90元1大1小亲子套餐，畅玩景区！百亩梦幻花海，还有超多娱乐尽在枫彩漫城等你~,0,d/q,,
【全国包邮】仅9.9元抢原价29元佬食仁休闲零食！多味豌豆/夹心雪媚娘/沙琪玛 3选1！追剧、办公、闲暇时光必备零食~,1,a-1,,
【禾食·鲍鱼鸡 河西万达】仅88元购门市价307元2~3人餐：农家走地鸡＋人参60g+美国肥牛＋手打牛肉滑＋菌菇拼盘＋娃娃菜＋冬瓜＋莴笋＋拉面＋奶黄包＋白茶乌龙，美容养颜，安排上~,0,a-3,,
"【3号线浮桥站】仅68元抢门市价1280元美范美肤塑形套餐六种项目项目任选两种，让您在变美的路上一去不复返！	",0,k,,
【新街口】8.8元抢原价35元极爪爪招牌椒麻鸡胗+红椒麻豆皮，19.9元抢原价53元极爪爪招牌椒麻鸡胗+招牌麻椒鸡拐，鲜香麻辣安排上~,0,a-15,,
【仅限江浙沪皖】89元抢原价198元澳领牛排A套餐：手工西冷牛排8片，139元抢原价358元B套餐：手工眼肉牛排3片+手工菲力牛排150克3片+手工西冷牛排100片5片！,1,a-5,,
【新街口莱迪】16.8元抢原价41元百真冰淇淋双人套餐西瓜仙子+奥利奥风暴中杯，和好友一起分享甜蜜吧~,0,a-14,,
【直播间限时秒杀】【禾食·鲍鱼鸡 河西万达】仅79元购门市价307元2~3人餐：农家走地鸡＋人参60g+美国肥牛＋手打牛肉滑＋菌菇拼盘＋娃娃菜＋冬瓜＋莴笋＋拉面＋奶黄包＋白茶乌龙，美容养颜，安排上~,0,a-3,限时,
【直播间限时秒杀】【KFC肯德基/全国通用】仅79元 抢门市价131元香辣鸡腿堡一个，新奥尔良鸡腿堡一个，吮指原味鸡块一块，香辣黄金鸡柳一份（4个）香辣鸡翅两个，劲爆鸡米花一份，葡式蛋挞一个，薯条一份（大），九珍果汁2杯,0,a-1-1,限时,
【直播限时秒杀】【两店通用】仅21.9元抢原价69元苏蜀自助小火锅单人午市自助，31.9元抢原价79元单人晚市自助！菜品不限吃，烤肉、火锅二合一~,0,a-4/a-8,限时,
【直播间限时秒杀】【新街口】1.9元抢原价35元极爪爪招牌椒麻鸡胗+红椒麻豆皮，鲜香麻辣安排上~,0,a-10,限时,
【直播间限时秒杀】【贤合庄/全国包邮】仅12.9元抢原价35.8元贤合庄鲜蔬自热小火锅两盒，三大明星联手打造，15分钟方便速食，美味随时享受！,1,a-5,限时,
【直播间限时秒杀】【全国包邮】仅5.9元抢原价29元佬食仁休闲零食！多味豌豆/夹心雪媚娘/沙琪玛 3选1！追剧、办公、闲暇时光必备零食~,1,a-1,限时,
【棒约翰】【南京两店通用】69.9元抢门市价197元2-3人餐【9寸比萨】5选1+【主食】2选1+【小食】4选1+【饮品3选3】可复选，无限续杯,0,a-1-1,,
【直播间限时秒杀】【新街口莱迪】9.9元抢原价41元百真冰淇淋双人套餐西瓜仙子+奥利奥风暴中杯，和好友一起分享甜蜜吧~,0,a-14,,
【晚餐三店通用】仅28元抢原价69元苏蜀自助小火锅单人午市自助，38元抢原价79元单人晚市自助！菜品不限吃，烤肉、火锅二合一~,0,a-4/a-5/a-8,,
【直播后恢复爆品价】【两店通用】仅28元抢原价69元苏蜀自助小火锅单人午市自助，38元抢原价79元单人晚市自助！菜品不限吃，烤肉、火锅二合一~,0,a-4/a-5/a-8,限时,
【光华路石林家具城】仅9.9元抢原价28元飞师傅烤排饭1份！牛排一份，蔬菜两份，卤蛋一个，小菜一份，米饭一份！,0,a-1-2,,
【直播间限时秒杀】【新街口】11.9元抢原价53元极爪爪招牌椒麻鸡胗+招牌麻椒鸡拐，鲜香麻辣安排上~,0,a-10,,
【全国包邮】仅49.9元抢原价132元500g长白山雪蜜！源自长白山原始森林，给你最纯正、自然的蜂蜜~,1,b-3,,
【高淳富克斯一楼】仅9.9元抢原价18元普咔奶茶2杯！布丁奶茶， 有料奶茶 ，元气奶茶 3选2！超火的韩国人气奶茶，快和闺蜜一起分享,0,a-6,,
【仅限南京地区发货|顺丰包邮】仅69.9元抢原价99元卡士高端酸奶套餐！整整15杯酸奶！125g 原态酪乳3杯+120g 鲜酪乳3杯+100g 果粒系列3杯+100g风味发酵乳6杯 ,1,a-8,,
【KFC肯德基/全国通用】仅88元 抢门市价131元香辣鸡腿堡+新奥尔良鸡腿堡+吮指原味鸡块+香辣黄金鸡柳+香辣鸡翅+劲爆鸡米花+葡式蛋挞+薯条+九珍果汁,0,a-1-1,,
【全国包邮】仅19.9元抢门市价24.7元小样自热煲仔饭2盒装！口味4选2+乳酸菌2瓶！红烧牛肉/番茄牛肉/红烧狮子头/川味香肠，随时随地都能吃的煲仔饭~,1,a-5,,
【无锡融创文旅城】仅499元强门市价1280元家庭套餐 ，2大2小/2大1小通用  融创乐园/水世界/海世界，超长有效期至年底！！！  ,0,d/e,,
【仅限江浙沪发货】仅39.9元抢原价64元70-80g凤凰紫桃6斤装，49.9元抢原价82元80-100g紫桃6斤装！营养超丰富的紫桃，绝对值得一尝~,1,a-2,,
【全国包邮|香奈儿】仅158元抢原价330元香奈儿炫亮魅力口红1支！9款色号任选其一，知名大牌口红，精致女孩儿怎么能没有一支~,1,d-2,,
【新街口|苏香食里美食广场】仅29.9元抢原价96元蒸菜世家双人套餐！经典大盘鸡1份+蒸蛋1份分+凉拌土豆丝1份+米饭2份+饮料2杯 ！,0,a-1-2,,
【新街口大洋百货】仅88元抢原价206元百岁我家酸菜鱼2-3人餐！招牌酸菜鱼+金牌培根+蔬菜拼盘+爽脆木耳+饮品2杯+米饭2碗！,0,a-3,,
【仅限江浙沪地区发货】仅19.9元抢原价36元砀山皇冠梨5斤装！来自“梨都砀山”的皇冠梨，入口流汁，夏日解暑必备~,1,a-2,,
【江宁翠屏国际】仅39抢原价129元沐槿宫成人洗浴澡资！99抢原价237元亲子洗浴澡资+自助晚餐！享受休闲养生，尽在沐槿宫~,0,i,,
【仅限直播间秒杀】【14店通用】6.9元抢门市价21元 石上百味黑椒鸡腿饭，仅限直播间，这么实惠，小伙伴们买到就是赚到呀！,0,a-1-2,限时,
【直播间限时秒杀】仅14.9元抢门市价24.7元小样自热煲仔饭2盒装！口味4选2+乳酸菌2瓶！红烧牛肉/番茄牛肉/红烧狮子头/川味香肠，随时随地都能吃的煲仔饭~,1,a-5,限时,
【直播间限时秒杀】仅13.9元抢原价36元砀山皇冠梨5斤装！来自“梨都砀山”的皇冠梨，入口流汁，夏日解暑必备~,1,a-2,限时,
【直播限时秒杀】仅29元抢原价129元沐槿宫成人洗浴澡资！89元抢原价237元亲子洗浴澡资+自助晚餐！享受休闲养生，尽在沐槿宫~,0,i,限时,
【江宁翠屏国际】仅39元抢原价129元沐槿宫成人洗浴澡资！99元抢原价237元亲子洗浴澡资+自助晚餐！享受休闲养生，尽在沐槿宫~,0,i,,
【直播间限时秒杀】仅49.9元抢原价207元羊老爷新品花椒鱼！四斤花椒鱼+四份蔬菜+两份米饭+两杯饮料！又麻又辣，朋友聚餐的绝佳选择~,0,a-3,限时,
【直播间限时秒杀】【南京两店通用】61.9元抢门市价197元2-3人餐【9寸比萨】5选1+【主食】2选1+【小食】4选1+【饮品3选3】可复选，无限续杯,0,a-1-1,限时,
【直播间限时秒杀】仅21.9元享门市价50元一大一小套票，水世界畅玩~清凉解暑，狂欢假期，遛娃圣地！,0,d/q,限时,
【全国通用】仅450元抢门市价688元寄居蟹旅行民宿次卡！全国80家精品民宿任你选，快来一次说走就走的旅行~,0,b,,
【水西门大街】仅78元抢原价207元羊老爷新品花椒鱼！四斤花椒鱼+四份蔬菜+两份米饭+两杯饮料！又麻又辣，朋友聚餐的绝佳选择~,0,a-3,,
【直播结束恢复原价】仅19.9元抢原价36元砀山皇冠梨5斤装！来自“梨都砀山”的皇冠梨，入口流汁，夏日解暑必备~,1,a-2,限时,
【直播结束恢复原价】【南京两店通用】69.9元抢门市价197元2-3人餐【9寸比萨】5选1+【主食】2选1+【小食】4选1+【饮品3选3】可复选，无限续杯,0,a-1-1,限时,
【新街口莱迪】8.9元抢原价15元陈记超值套餐，陈记秘制老长沙臭豆腐+里脊串，还不赶紧去打卡~~,0,a-10,,
【全国包邮|买一赠一】仅39.9元抢原价118元修正药业除螨包，每袋10包/每包10g，天然草本萃取，温和呵护，轻松除螨,1,c-5,,
【两店通用】仅99元抢原价325元炉子旁烤肉2-3人餐！六款火爆肉食+生菜+裙带菜汤+酱料+气泡水3杯！网红烤肉盛宴等你来打卡~,0,a-5,,
【浦口区|金盛田广场】仅88元抢原价286元鲜牛社烤肉2-3人餐！原切西冷牛排+厚切牛舌+培根金针菇+台式纯肉肠+奥尔良鸡腿排+烤无骨鱼片，更有饮品水果，绝对丰富~,0,a-5,,
【仅限南京地区发货】仅63.9元抢原价79元 元气森林无糖苏打气泡水白桃味15瓶装！480ml/瓶！健康+好喝，乘风破浪的绮绮子也在喝~,1,a-11,,
【江宁托乐嘉花园】仅49.9元抢原价180元PICK HQ音乐餐吧A套餐！百威冰啤12瓶+小吃一份+果盘一份！69.9元抢原价200元B套餐：盖浇饭一份+披萨一份+炸小串一份+百威冰啤2瓶 ,0,n,,
